Date;BTC;Oil;DJI
2019-01-02;3943.409423828125;54.90999984741211;23346.240234375
2019-01-03;3836.7412109375;55.95000076293945;22686.220703125
2019-01-04;3857.717529296875;57.060001373291016;23433.16015625
2019-01-07;4025.248291015625;57.33000183105469;23531.349609375
2019-01-08;4030.847900390625;58.720001220703125;23787.44921875
2019-01-09;4035.29638671875;61.439998626708984;23879.119140625
2019-01-10;3678.924560546875;61.68000030517578;24001.919921875
2019-01-11;3687.365478515625;60.47999954223633;23995.94921875
2019-01-14;3706.05224609375;58.9900016784668;23909.83984375
2019-01-15;3630.67529296875;60.63999938964844;24065.58984375
2019-01-16;3655.0068359375;61.31999969482422;24207.16015625
2019-01-17;3678.56396484375;61.18000030517578;24370.099609375
2019-01-18;3657.83935546875;62.70000076293945;24706.349609375
2019-01-22;3604.5771484375;61.5;24404.48046875
2019-01-23;3585.123046875;61.13999938964844;24575.619140625
2019-01-24;3600.865478515625;61.09000015258789;24553.240234375
2019-01-25;3599.765869140625;61.63999938964844;24737.19921875
2019-01-28;3470.450439453125;59.93000030517578;24528.220703125
2019-01-29;3448.116943359375;61.31999969482422;24579.9609375
2019-01-30;3486.181640625;61.650001525878906;25014.859375
2019-01-31;3457.792724609375;61.88999938964844;24999.669921875
2019-02-01;3487.9453125;61.869998931884766;25063.890625
2019-02-04;3459.154052734375;62.5099983215332;25239.369140625
2019-02-05;3466.357421875;61.97999954223633;25411.51953125
2019-02-06;3413.767822265625;62.689998626708984;25390.30078125
2019-02-07;3399.4716796875;61.630001068115234;25169.529296875
2019-02-08;3666.7802734375;62.099998474121094;25106.330078125
2019-02-11;3648.4306640625;61.5099983215332;25053.109375
2019-02-12;3653.528564453125;62.41999816894531;25425.759765625
2019-02-13;3632.070556640625;63.61000061035156;25543.26953125
2019-02-14;3616.880859375;64.56999969482422;25439.390625
2019-02-15;3620.810791015625;66.25;25883.25
2019-02-19;3947.094482421875;66.44999694824219;25891.3203125
2019-02-20;3999.820556640625;67.08000183105469;25954.439453125
2019-02-21;3954.1181640625;67.06999969482422;25850.630859375
2019-02-22;4005.526611328125;67.12000274658203;26031.810546875
2019-02-25;3882.6962890625;64.76000213623047;26091.94921875
2019-02-26;3854.35791015625;65.20999908447266;26057.98046875
2019-02-27;3851.04736328125;66.38999938964844;25985.16015625
2019-02-28;3854.785400390625;66.02999877929688;25916.0
2019-03-01;3859.583740234375;65.06999969482422;26026.3203125
2019-03-04;3761.55712890625;65.66999816894531;25819.650390625
2019-03-05;3896.375;65.86000061035156;25806.630859375
2019-03-06;3903.942626953125;65.98999786376953;25673.4609375
2019-03-07;3911.484375;66.30000305175781;25473.23046875
2019-03-08;3901.131591796875;65.73999786376953;25450.240234375
2019-03-11;3905.227294921875;66.58000183105469;25650.880859375
2019-03-12;3909.15625;66.66999816894531;25554.66015625
2019-03-13;3906.71728515625;67.55000305175781;25702.890625
2019-03-14;3924.369140625;67.2300033569336;25709.939453125
2019-03-15;3960.9111328125;67.16000366210938;25848.869140625
2019-03-18;4032.50732421875;67.54000091552734;25914.099609375
2019-03-19;4071.190185546875;67.61000061035156;25887.380859375
2019-03-20;4087.476318359375;68.5;25745.669921875
2019-03-21;4029.326904296875;67.86000061035156;25962.509765625
2019-03-22;4023.96826171875;67.02999877929688;25502.3203125
2019-03-25;3963.070556640625;67.20999908447266;25516.830078125
2019-03-26;3985.080810546875;67.97000122070312;25657.73046875
2019-03-27;4087.066162109375;67.83000183105469;25625.58984375
2019-03-28;4069.107177734375;67.81999969482422;25717.4609375
2019-03-29;4098.37451171875;68.38999938964844;25928.6796875
2019-04-01;4158.18310546875;69.01000213623047;26258.419921875
2019-04-02;4879.8779296875;69.37000274658203;26179.130859375
2019-04-03;4973.02197265625;69.30999755859375;26218.130859375
2019-04-04;4922.798828125;69.4000015258789;26384.630859375
2019-04-05;5036.68115234375;70.33999633789062;26424.990234375
2019-04-08;5289.77099609375;71.0999984741211;26341.01953125
2019-04-09;5204.95849609375;70.61000061035156;26150.580078125
2019-04-10;5324.5517578125;71.7300033569336;26157.16015625
2019-04-11;5064.48779296875;70.83000183105469;26143.05078125
2019-04-12;5089.5390625;71.55000305175781;26412.30078125
2019-04-15;5067.1083984375;71.18000030517578;26384.76953125
2019-04-16;5235.5595703125;71.72000122070312;26452.66015625
2019-04-17;5251.93798828125;71.62000274658203;26449.5390625
2019-04-18;5298.3857421875;71.97000122070312;26559.5390625
2019-04-22;5399.365234375;74.04000091552734;26511.05078125
2019-04-23;5572.3623046875;74.51000213623047;26656.390625
2019-04-24;5464.86669921875;74.56999969482422;26597.05078125
2019-04-25;5210.515625;74.3499984741211;26462.080078125
2019-04-26;5279.34814453125;72.1500015258789;26543.330078125
2019-04-29;5247.3525390625;72.04000091552734;26554.390625
2019-04-30;5350.7265625;72.80000305175781;26592.91015625
2019-05-01;5402.697265625;72.18000030517578;26430.140625
2019-05-02;5505.28369140625;70.75;26307.7890625
2019-05-03;5768.28955078125;70.8499984741211;26504.94921875
2019-05-06;5746.80712890625;71.23999786376953;26438.48046875
2019-05-07;5829.50146484375;69.87999725341797;25965.08984375
2019-05-08;5982.45751953125;70.37000274658203;25967.330078125
2019-05-09;6174.52880859375;70.38999938964844;25828.359375
2019-05-10;6378.84912109375;70.62000274658203;25942.369140625
2019-05-13;7814.9150390625;70.2300033569336;25324.990234375
2019-05-14;7994.416015625;71.23999786376953;25532.05078125
2019-05-15;8205.16796875;71.7699966430664;25648.01953125
2019-05-16;7884.9091796875;72.62000274658203;25862.6796875
