FitchEntityID;OPERATING_ROAA;TOTAL_EQUITY_TOTAL_ASSETS;LA_to_TA;NET_LOANS_TOTAL_ASSETS
1187038;0.95;6.51;13.09841748251374;41.21
1260870;0.29;9.57;18.70016811673715;50.88
1158830;1.43;9.34;9.367866751492812;56.28
1012807;0.75;6.41;9.42798592556481;39.34
1188090;0.95;10.02;27.043991690318357;39.66
1045347;1.32;7.52;9.161687832030605;40.88
1462603;0.82;7.1;9.055664036201279;43.4
1105911;1.17;6.52;7.799303670508788;33.61
1286970;0.81;11.15;43.99395352078266;42.44
1449881;1.03;9.03;11.827642514196885;52.29
1211730;0.85;8.55;3.0718592211534412;48.71
1286950;1.03;8.89;10.913556758851835;49.82
1283390;0.76;8.13;7.061952495139222;46.03
1466220;0.9;5.8;17.81469710610117;40.6
1428611;1.11;8.9;21.161177165743627;40.9
1269030;0.82;7.09;11.621441141205695;45.56
1196510;0.41;19.75;50.068962972188324;24.57
1185530;0.55;10.63;34.25476262962272;41.65
1457964;0.14;19.89;57.20580675169603;32.99
1100270;1.06;8.76;4.120994696158432;60.28
1291570;0.06;22.15;46.004004338035436;33.07
1185910;0.66;11.89;34.23808811210684;39.82
1409634;0.23;75.48;86.04525862069833;7.83
1172790;-0.02;9.55;36.82191985484041;34.33
1212910;0.5;8.6;25.19844882428432;43.06
1008206;1.28;9.81;8.315945704487442;38.13
1185891;0.27;9.41;23.63628410013448;32.43
1006162;1.09;7.8;4.807037976226463;41.24
1411058;1.21;6.91;10.01880843805071;42.34
1492747;0.96;8.67;14.405794509524098;46.18
1099050;1.09;6.61;11.649811684347826;45.05
1171271;0.87;5.07;11.487017393651584;26.37
1188910;0.42;7.6;36.82975952599761;41.3
1059234;1.14;6.76;17.277852595406824;34.46
1255650;-0.42;17.9;41.93632554498819;23.39
1446323;-1.08;14.02;56.984403047595976;34.73
1269850;1.16;14.78;45.49824078652227;30.71
1163370;0.38;9.78;21.132338582123044;53.04
1424491;0.49;7.48;9.7847564698848;44.25
1441774;1.02;7.46;9.853560325249083;43.09
1186970;1.01;5.41;13.056808896325991;31.68
1186150;0.28;9.97;40.717312128903906;50.92
1326990;1.32;7.89;19.75362031824055;42.52
1386450;0.98;6.82;6.635993900451254;46.9
114900;1.08;6.51;13.080679277379112;39.16
1420116;1.19;6.71;19.620575725292845;30.82
1024480;0.77;6.4;26.834729076746022;36.97
1193351;0.65;6.87;9.672363196926097;48.98
1194831;1.11;8.0;12.836564639704251;37.12
1186770;2.4;7.49;18.227248485931547;60.01
1464398;2.03;12.11;20.112992823064214;57.85
1474725;1.37;8.77;9.04571496097553;64.15
1465438;0.94;7.03;9.07161113796278;49.56
1462604;1.09;8.83;10.945961013031331;36.73
1437774;1.34;8.49;11.672438528896386;42.03
107353;1.19;6.79;9.826482985014;49.0
107695;1.41;8.12;7.275014177796506;56.84
107707;0.95;7.26;9.20279035967262;54.71
112029;1.01;6.84;9.53324545617419;51.11
112030;1.5;7.68;10.080001422755643;54.22
112031;1.11;6.76;5.510642597413158;54.03
112032;1.06;6.6;6.463358887010457;46.25
107696;1.02;7.47;8.711517392679449;48.45
113541;1.05;7.58;11.93391721624771;44.6
113968;1.18;8.1;9.329513755903193;54.68
114902;1.19;7.02;6.557100585931135;50.57
114903;1.45;8.21;10.892947889877744;53.26
114904;0.63;5.49;12.466838370096454;51.99
114905;1.04;6.59;9.135958155117427;36.6
107516;0.97;7.48;12.680070730475155;49.49
1239731;0.61;4.79;10.593759746824174;39.3
1185510;0.85;8.98;38.989448068253665;35.3
1463966;0.99;29.98;67.63065912117028;20.81
1312450;0.42;12.87;48.62967914436485;46.57
1359931;0.14;8.74;38.75486461671961;59.75
1000588;2.84;14.27;39.80290865947943;46.11
1001145;2.29;12.31;23.212602137020568;73.83
1271230;3.25;23.83;32.53218884111954;57.17
1003021;0.94;13.12;35.03501556247238;56.8
1003405;1.47;11.33;24.177846174433963;50.36
1271231;-2.53;16.32;60.84361321130659;24.02
