Date;Adj Close
01/01/1985;278.70001220703125
01/02/1985;284.20001220703125
01/03/1985;279.20001220703125
01/04/1985;280.6000061035156
01/05/1985;290.79998779296875
01/06/1985;296.20001220703125
01/07/1985;301.29998779296875
01/08/1985;297.70001220703125
01/09/1985;280.29998779296875
01/10/1985;292.5
01/11/1985;314.0
01/12/1985;324.8999938964844
01/01/1986;335.79998779296875
01/02/1986;359.5
01/03/1986;374.70001220703125
01/04/1986;383.20001220703125
01/05/1986;400.20001220703125
01/06/1986;405.5
01/07/1986;371.3999938964844
01/08/1986;382.8999938964844
01/09/1986;350.70001220703125
01/10/1986;360.79998779296875
01/11/1986;359.6000061035156
01/12/1986;348.79998779296875
01/01/1987;392.1000061035156
01/02/1987;425.0
01/03/1987;430.1000061035156
01/04/1987;417.79998779296875
01/05/1987;416.5
01/06/1987;424.70001220703125
01/07/1987;434.8999938964844
01/08/1987;455.0
01/09/1987;444.29998779296875
01/10/1987;323.29998779296875
01/11/1987;305.20001220703125
01/12/1987;330.5
01/01/1988;344.70001220703125
01/02/1988;367.0
01/03/1988;374.6000061035156
01/04/1988;379.20001220703125
01/05/1988;370.29998779296875
01/06/1988;394.70001220703125
01/07/1988;387.29998779296875
01/08/1988;376.6000061035156
01/09/1988;387.70001220703125
01/10/1988;382.5
01/11/1988;371.5
01/12/1988;381.3999938964844
01/01/1989;401.29998779296875
01/02/1989;399.70001220703125
01/03/1989;406.70001220703125
01/04/1989;427.6000061035156
01/05/1989;446.20001220703125
01/06/1989;435.29998779296875
01/07/1989;453.79998779296875
01/08/1989;469.29998779296875
01/09/1989;472.8999938964844
01/10/1989;455.6000061035156
01/11/1989;456.1000061035156
01/12/1989;454.79998779296875
01/01/1990;415.79998779296875
01/02/1990;425.79998779296875
01/03/1990;435.5
01/04/1990;420.1000061035156
01/05/1990;459.0
01/06/1990;462.29998779296875
01/07/1990;438.20001220703125
01/08/1990;381.20001220703125
01/09/1990;344.5
01/10/1990;329.79998779296875
01/11/1990;359.1000061035156
01/12/1990;373.79998779296875
01/01/1991;414.20001220703125
01/02/1991;453.1000061035156
01/03/1991;482.29998779296875
01/04/1991;484.7200012207031
01/05/1991;506.1099853515625
01/06/1991;475.9200134277344
01/07/1991;502.0400085449219
01/08/1991;525.6799926757812
01/09/1991;526.8800048828125
01/10/1991;542.97998046875
01/11/1991;523.9000244140625
01/12/1991;586.3400268554688
01/01/1992;620.2100219726562
01/02/1992;633.469970703125
01/03/1992;603.77001953125
01/04/1992;578.6799926757812
01/05/1992;585.3099975585938
01/06/1992;563.5999755859375
01/07/1992;580.8300170898438
01/08/1992;563.1199951171875
01/09/1992;583.27001953125
01/10/1992;605.1699829101562
01/11/1992;652.72998046875
01/12/1992;676.9500122070312
01/01/1993;696.3400268554688
01/02/1993;670.77001953125
01/03/1993;690.1300048828125
01/04/1993;661.4199829101562
01/05/1993;700.530029296875
01/06/1993;703.9500122070312
01/07/1993;704.7000122070312
01/08/1993;742.8400268554688
01/09/1993;762.780029296875
01/10/1993;779.260009765625
01/11/1993;754.3900146484375
01/12/1993;776.7999877929688
01/01/1994;800.469970703125
01/02/1994;792.5
01/03/1994;743.4600219726562
01/04/1994;733.8400268554688
01/05/1994;735.1900024414062
01/06/1994;705.9600219726562
01/07/1994;722.1599731445312
01/08/1994;765.6199951171875
01/09/1994;764.2899780273438
01/10/1994;777.489990234375
01/11/1994;750.3200073242188
01/12/1994;751.9600219726562
01/01/1995;755.2000122070312
01/02/1995;793.72998046875
01/03/1995;817.2100219726562
01/04/1995;843.97998046875
01/05/1995;864.5800170898438
01/06/1995;933.4500122070312
01/07/1995;1001.2100219726562
01/08/1995;1020.1099853515625
01/09/1995;1043.5400390625
01/10/1995;1036.06005859375
01/11/1995;1059.199951171875
01/12/1995;1052.1300048828125
01/01/1996;1059.7900390625
01/02/1996;1100.050048828125
01/03/1996;1101.4000244140625
01/04/1996;1190.52001953125
01/05/1996;1243.4300537109375
01/06/1996;1185.02001953125
01/07/1996;1080.5899658203125
01/08/1996;1141.5
01/09/1996;1226.9200439453125
01/10/1996;1221.510009765625
01/11/1996;1292.6099853515625
01/12/1996;1291.030029296875
01/01/1997;1379.8499755859375
01/02/1997;1309.0
01/03/1997;1221.699951171875
01/04/1997;1260.760009765625
01/05/1997;1400.3199462890625
01/06/1997;1442.0699462890625
01/07/1997;1593.81005859375
01/08/1997;1587.3199462890625
01/09/1997;1685.68994140625
01/10/1997;1593.6099853515625
01/11/1997;1600.550048828125
01/12/1997;1570.3499755859375
01/01/1998;1619.3599853515625
01/02/1998;1770.510009765625
01/03/1998;1835.6800537109375
01/04/1998;1868.4100341796875
01/05/1998;1778.8699951171875
01/06/1998;1894.739990234375
01/07/1998;1872.3900146484375
01/08/1998;1499.25
01/09/1998;1693.8399658203125
01/10/1998;1771.3900146484375
01/11/1998;1949.5400390625
01/12/1998;2192.68994140625
01/01/1999;2505.889892578125
01/02/1999;2288.030029296875
01/03/1999;2461.39990234375
01/04/1999;2542.860107421875
01/05/1999;2470.52001953125
01/06/1999;2686.1201171875
01/07/1999;2638.489990234375
