Date;Open;High;Low;Close;Adj Close;Volume
28/02/1992;3269.500000;3293.379883;3259.389893;3267.699951;3267.699951;179600
02/03/1992;3267.699951;3276.620117;3261.399902;3275.300049;3275.300049;172200
03/03/1992;3275.300049;3295.620117;3272.810059;3290.300049;3290.300049;195200
04/03/1992;3290.300049;3299.639893;3268.560059;3268.600098;3268.600098;228000
05/03/1992;3268.300049;3268.340088;3235.689941;3241.500000;3241.500000;182200
06/03/1992;3241.500000;3252.010010;3213.770020;3221.600098;3221.600098;184600
09/03/1992;3221.600098;3227.189941;3211.310059;3215.100098;3215.100098;165300
10/03/1992;3215.100098;3248.209961;3214.669922;3231.000000;3231.000000;207300
11/03/1992;3231.000000;3233.449951;3198.350098;3208.600098;3208.600098;176700
12/03/1992;3208.600098;3213.100098;3188.280029;3208.600098;3208.600098;180800
13/03/1992;3208.600098;3237.030029;3208.179932;3235.899902;3235.899902;163700
16/03/1992;3235.899902;3236.580078;3208.409912;3236.399902;3236.399902;150500
17/03/1992;3236.399902;3260.060059;3235.909912;3256.000000;3256.000000;180200
18/03/1992;3256.000000;3271.909912;3246.199951;3254.300049;3254.300049;178900
19/03/1992;3254.300049;3269.899902;3251.149902;3261.399902;3261.399902;171700
20/03/1992;3261.399902;3277.280029;3255.810059;3276.399902;3276.399902;286400
23/03/1992;3275.899902;3275.939941;3261.179932;3272.100098;3272.100098;156900
24/03/1992;3272.100098;3284.439941;3249.110107;3261.000000;3261.000000;243800
25/03/1992;3261.000000;3276.389893;3251.120117;3259.399902;3259.399902;189600
26/03/1992;3259.399902;3275.040039;3251.340088;3267.699951;3267.699951;181200
27/03/1992;3267.699951;3268.110107;3226.520020;3231.399902;3231.399902;151400
30/03/1992;3231.399902;3248.879883;3229.429932;3235.199951;3235.199951;126400
31/03/1992;3235.199951;3260.729980;3228.979980;3235.500000;3235.500000;151100
01/04/1992;3235.500000;3252.239990;3215.340088;3249.300049;3249.300049;188400
02/04/1992;3249.300049;3259.620117;3220.260010;3234.100098;3234.100098;190200
